,0,1,2
663,0,3,46
664,0,3,46
665,0,0,46
666,0,0,46
667,0,0,47
668,0,0,48
669,0,0,48
670,0,3,51
671,0,3,48
672,0,3,49
673,0,0,48
674,0,0,47
675,0,0,47
676,0,0,47
677,0,0,47
678,0,1,47
679,0,3,48
680,0,3,48
681,0,3,48
682,0,0,48
683,0,0,48
684,0,3,48
685,0,3,47
686,0,3,46
687,0,3,46
688,0,0,46
689,0,3,46
690,0,3,47
691,0,3,48
692,0,3,48
693,0,3,48
694,0,0,50
695,0,0,52
696,0,3,54
697,0,3,56
698,0,3,55
699,0,3,55
700,0,0,54
701,0,3,54
702,0,3,54
703,0,3,54
704,0,3,54
705,0,0,53
706,0,3,53
707,0,3,58
708,0,3,60
709,0,3,59
710,0,3,59
711,0,3,58
712,0,3,56
713,0,3,55
714,0,3,55
715,0,3,52
716,0,3,52
717,0,0,52
718,0,3,53
719,0,0,53
720,0,0,53
721,0,3,51
722,0,3,50
723,0,3,50
724,0,3,50
725,0,0,48
726,0,0,48
727,0,3,49
728,0,3,50
729,0,0,49
730,0,3,48
731,4,3,48
732,0,3,49
733,0,3,49
734,4,3,48
735,4,3,50
736,0,3,52
737,0,3,53
738,0,3,53
739,0,3,53
740,0,3,55
741,0,3,61
742,0,3,67
743,0,3,68
744,20,3,71
745,17,3,70
746,17,3,63
747,20,3,66
748,0,3,69
749,0,3,68
750,0,0,66
751,0,3,66
752,0,2,65
753,0,2,64
754,0,2,64
755,0,2,65
756,0,2,66
757,0,2,68
758,0,2,69
759,0,2,69
760,0,3,69
761,11,3,68
762,9,3,69
763,16,3,67
764,15,3,66
765,14,3,65
766,13,3,65
767,12,3,65
768,10,3,66
769,6,3,65
770,0,3,66
771,0,0,67
772,0,3,67
773,0,3,66
774,0,3,65
775,11,3,65
776,15,3,65
777,14,3,65
778,14,3,66
779,10,3,67
780,84,3,67
781,84,3,66
782,84,3,65
783,84,3,64
784,84,3,65
785,20,3,65
786,17,3,65
787,17,3,66
788,0,0,66
789,15,3,66
790,13,3,67
791,14,3,67
792,16,3,65
793,16,3,65
794,16,3,65
795,17,3,65
796,0,3,65
797,11,3,65
798,10,3,65
799,13,3,65
800,14,3,65
801,10,3,65
802,17,3,65
803,18,3,66
804,18,3,66
805,17,3,66
806,17,3,66
807,15,3,66
808,15,3,66
809,12,3,66
810,17,3,66
811,16,3,66
812,17,3,67
813,16,3,67
814,14,3,67
815,13,3,67
816,84,3,66
817,84,3,66
818,84,3,67
819,84,3,66
820,84,3,66
821,84,3,66
822,45,3,66
823,18,3,66
824,16,3,67
825,15,3,67
826,15,3,66
827,16,3,66
828,16,3,66
829,17,3,66
830,10,3,67
831,13,3,67
832,14,3,66
833,16,3,66
834,15,3,66
835,17,3,66
836,17,3,65
837,18,3,65
838,18,3,65
839,19,3,66
840,19,3,66
841,18,3,66
842,18,3,66
843,17,3,66
844,16,3,66
845,16,3,66
846,16,3,67
847,15,3,67
848,14,3,67
849,12,3,67
850,84,3,66
851,84,3,66
852,84,3,66
853,84,3,66
854,84,3,66
855,60,3,65
856,23,3,63
857,21,3,65
858,19,3,64
859,19,3,64
860,19,3,64
861,18,3,65
862,18,3,65
863,19,3,65
864,19,3,64
865,20,3,64
866,20,3,63
867,20,3,63
868,19,3,62
869,17,3,62
870,16,3,62
871,16,3,62
872,18,3,56
873,18,3,53
874,17,3,50
875,16,3,50
876,16,3,49
877,14,3,49
878,15,3,49
879,11,4,50
880,17,3,49
881,0,0,50
882,0,0,50
883,0,0,50
884,0,0,51
885,0,0,53
886,0,0,53
